"1-molssaeavttut","1-valinnat"
"čiega láse vuogádatgárccus álggahettiin","piilota ikkuna paneelin upotusalueeseen käynnistyksessä."
"čiega láserámma","piilota ikkunan reunus"
"čiega mixerlása","piilota mikseri-ikkuna"
"čiega reaidoholggas","piilota työkaluriville"
"čiega sillejuvvon govaid","piilota suodatetut kohteet"
"čiega sillenlinnjá","piilota hakupalkki"
"čiega árkka 1","piilota taulukko 1"
"čiega čuoldda","piilota sarake"
"čiegakeahttá","yläkulmassa"
"čiegus máŋggus","piilokopio"
"čiekŋalis mearra","syvä meri"
"čiežaivnnát (buoriduvvon","seitsemän värin parannettu"
"čiežaivnnát fotografiija","seitsemän värin valokuva"
"čiežanuppelogát virtuella čállinbeavdi válljejuvvui","virtuaalityöpöytä seitsemäntoista on valittu"
"čihkkon","ei näkyvissä"
"čikŋamolssaeavttut","ikkunoiden kehyksen asetukset"
"čikŋodat","syvyys;"
"čikŋodat 1","värisyvyys 1"
"čikŋodatillušuvnnat","syvyysilluusioit"
"čilge mii fiillas lea.","kuvaile, mitä lähetit."
"čoahkkádus","teema"
"čohkke","kokoa"
"čohkket ...","kokoa..."
"čorge čálánoaivvi","puhdista tulostuspää"
"čoaggigoađe dieđuid","aloita lokiin kirjoitus"
"čoahkkin lea sirdejuvvon álgu 1 loahppa 2","tapahtumaa on siirretty. uusi aika alkaa 1 päättyy 2."
"čoahkkisvuohta","tiheys"
"čoahkkopáhkka '${kernel}'.","ydinpaketti \${kernel}\."
"čoahkku maid sajáiduhttit","mikä debianin versio asennetaan"
"čoahkkádus dán namas gávdno juo.","tämänniminen teema on jo olemassa."
"čoahkkádusmáhppa","kokoelmakansio"
"čoahkkádus","kokoelma"
"čoahkkádusa namma","uuden teeman nimi"
"čoahkkádusmáhpat","kokoelman kansiot"
"čoahkkádusruohtas","kokoelman juuri"
"čoahkkáigeassu dáhtaid vuolábealde","yhteenveto tietojen alla"
"čoahkkáibahkkejuvvon 'replacement delta row'-koden","rivi koodaus"
"čoahkkáigeassu gávnnai 1 prográmma","yhteenveto löytyi 1 sovellus"
"čoahkkáigeasut","yhteenvedot"
"čoahkádus","sanatäydennys"
"čoakkáldat","tiivistelmä"
"čoavdda mainna vuolláičállit","allekirjoitukseen käytettävä avain"
"čoavdda-id","avaintunniste"
"čoavddaolggosfievrrideapmi filtii","avaimen vienti epäonnistui"
"čoavddasánit","hakusanat"
"čoavddašládja dsa (1 bihttá","avaintyyppi dsa (1 bittiä"
"čoavddašládja rsa (1 bihttá","avaintyyppi rsa (1 bittiä"
"čohkas čohkkii gaska","piikistä piikkiin etäisyys"
"čohkas čohkkii gaska","piikistä piikkiin etäisyys"
"čohkke ovttalagan bargguid","ryhmitä samankaltaiset ohjelmat"
"čohkke máŋgosiid","kerää kopiot"
"čohkkejeaddji","kerääjä"
"čohkkejuvvon (standárda","ryväs (normaali"
"čohkkendoaibmanvuohki (čálus vulos","keräystila (etupuoli alas"
"čorge lásiid","poista ikkunoiden lomitus"
"čorgemin ...","siivotaan..."
"čuggestat","estickles"
"čuggestusat","pistokkeita"
"čujuhus","viittaus"
"čujuha dása","osoittaa"
"čujuhus geavahuvvo juo","osoite on jo käytössä"
"čujuhus geavahuvvo juo","osoite on jo käytössä."
"čujuhus mángejuvvon čuohposgirjái.","osoite kopioitu leikepöydälle."
"čujuhus '1' ii gusto.","sijainti \ 1\ ei ole kelvollinen."
"čujuhus - 1 1/8 × 3 1/\"","osoite - 1 1/8 x 3 1/2\""
"čujuhusa maid čállet lea gustomeahttun.","määrittelemäsi osoite on virheellinen."
"čujuhusgirjeliŋka","osoitekirjalinkki"
"čuojan","soitin"
"čuoggát","pisteitä"
"čuoggát (pt","pistettä (pt"
"čuoggátávval","ennätykset"
"čuohpa merkejuvvon teavstta ja sirdde dan čuohpusgirjái","leikkaa valitun tekstin ja siirtää sen leikepöydälle"
"čuohpa merkošiid","leikkaa nimikkeet"
"čuohppusbeavddi sisdoalu fiilanamma","tiedostonimi leikepöydän sisällölle"
"čuohpusgirjjis ...","leikepöydältä..."
"čuojaha 1","nyt soi 1"
"čuojahanlistoreaidu","soittolistatyökalu"
"čuojahanlisttu namma","soittolistan nimi"
"čuojahanlistu","soittolista"
"čuojahanlohkki","soittolaskuri"
"čuojat automáhtalaččat","soita automaattisesti"
"čuojat jiena","toista ääni"
"čuojat jienaid","käytä ääniä"
"čuojat media ...","soita..."
"čuojat dvda","toista dvd-levy"
"čuojat jietna-cda","toista äänilevy"
"čuojat media (fiillaid dahje urlid","soita tiedostoja tai verkko-osoitteita"
"čuojat sullosaš artisttaid last.fms","soita samankaltaisia artisteja last.fm-palvelusta"
"čuojat/boatkke","soita/tauko"
"čuok 1","res 1"
"čuok xxxxx","res xxxxx"
"čuokkisčoahkko, mediašládja","tarkkuus, median tyyppi"
"čuokkisčoahkkobuorideapmi","tarkkuudenparannus"
"čuokkisčoahkkobuorideapmi (ret","tarkkuudenparannus (ret"
"čuokkisčoahkku, ivdnedoaibmanvuohki","tarkkuus, väritila"
"čuokkisčoahkku, ivdnedoaibmanvuohki, mediašládja","resoluutio, väritila, median tyyppi"
"čuokkisčoahkku, kvalitehta, leahkkašládja, mediašládja","tarkkuus, laatu, musteen tyyppi, median tyyppi"
"čuokkisčoahkku, kvalitehta, mediašládja","resoluutio, laatu, median tyyppi"
"čuolddat","sarakkeet"
"čuolda ferte leat unnimus 1.","sarakkeen täytyy olla vähintään 1."
"čuolda nr. 1","1. sarake"
"čuolda nummir 1","sarake nro. 1"
"čuolda '1'","sarake 1"
"čuolda 1","sarake 1"
"čuoldabárgideapmi","sarakkeiden yhdistys"
"čuoldanummir","sarakenumero"
"čuolddat 1","palstat 1"
"čuolddat 2","palstat 2"
"čuovga","valo"
"čuovgagovvačájeheapmi","diaesitys"
"čuovgabut","vaaleampi"
"čuovgagovva 1","dia 1"
"čuovgamus","vaalein"
"čuovgaárka / hp erenoamáš bábir","kalvo/hp erikoispaperi"
"čuovo linnjánummiriid","seuraa rivinumeroita"
"čuovo linnjánummiriid","seuraavat rivinumeroita"
"čuovu","seuraa"
"čuovvovaš moduvllat leat olamuttus","seuraavat moduulit ovat saatavilla"
"čuovvujuvvon liŋka","seurattu linkki"
"čuođádasat 1/10 0","sadasosina 1/10 0"
"čuvesrosa","vaalea pinkki"
"čuvges ránes","vaalean harmaa"
"čuvgescyanalit","vaalea syaani"
"čuvgescyanalit 1","vaalea syaani 1"
"čuvgescyanalit 2","vaalea syaani 2"
"čuvgescyanalit 3","vaalea syaani 3"
"čuvgescyanalit 4","vaalea syaani 4"
"čuvgeskorállaruoksat","vaalea koralli"
"čuvgespapaia 2","valkaistu manteli"
"čuvgesalbmealit","vaalea taivaansininen"
"čuvgesalbmealit 1","vaalea taivaansininen 1"
"čuvgesalbmealit 2","vaalea taivaansininen 2"
"čuvgesalbmealit 3","vaalea taivaansininen 3"
"čuvgesalit 1","vaaleansininen 1"
"čuvgesalit 2","vaaleansininen 2"
"čuvgesalit 3","vaaleansininen 3"
"čuvgesalit 4","vaaleansininen 4"
"čuvgesfiskat 1","vaaleankeltainen 1"
"čuvgesfiskat 2","vaaleankeltainen 2"
"čuvgesfiskat 3","vaaleankeltainen 3"
"čuvgesfiskat 4","vaaleankeltainen 4"
"čuvgesfiskesruškat","mokkasiini"
"čuvgesluossaruoksat","vaalea lohenpunainen"
"čuvgesluossaruoksat 1","vaalea lohenpunainen 1"
"čuvgesluossaruoksat 2","vaalea lohenpunainen 2"
"čuvgesmáisafiskat","vaaleankellertävä"
"čuvgesmáisafiskat 1","vaaleankellertävä 1"
"čuvgesmáisafiskat 2","vaaleankellertävä 2"
"čuvgesmáisafiskat 3","vaaleankellertävä 3"
"čuvgesmáisafiskat 4","vaaleankellertävä 4"
"čuvgespapaya","papaja"
"čuvgesrosa 1","vaalea pinkki 1"
"čuvgesrosa 2","vaalea pinkki 2"
"čuvgesrosa 3","vaalea pinkki 3"
"čuvgesruonáalit","pulverisininen"
"čuvgesruvsoruoksat","vaalea ruusu"
"čuvgesruvsoruoksat 1","vaalea ruusu 1"
"čuvgesruvsoruoksat 2","vaalea ruusu 2"
"čuvgesruvsoruoksat 3","vaalea ruusu 3"
"čuvgesruvsoruoksat 4","vaalea ruusu 4"
"čuvgesruškat","vaalea beige"
"čuvgesruškat 1","vaalea beige 1"
"čuvgesruškat 2","vaalea beige 2"
"čuvgesruškat 3","vaalea beige 3"
"čuvgesruškat 4","vaalea beige 4"
"čuvgesstallealit","vaalea teräksensininen"
"čuvgesstallealit 1","vaalea teräksensininen 1"
"čuvgesstallealit 2","vaalea teräksensininen 2"
"čuvgesstallealit 3","vaalea teräksensininen 3"
"čuvgesstallealit 4","vaalea teräksensininen 4"
"čájet buot čállinbevddiid lásiid","näytä kaikkien työpöytien ikkunat"
"čájet earáid bajábealde","pidä muiden ikkunoiden yläpuolella"
"čájet fiilla","katso tiedostoa"
"čájet logo","näytä logo"
"čájet láseboallorávvagiid","näytä ikkunapainikkeiden työkaluvihjeet"
"čájet lásiid sisdoalu sirdidettiin","näytä sisältö siirrettäessä"
"čájet ovttadaga","näytä yksikkö"
"čále fáttá","määrittele otsikko"
"čálihangaskkadat","tulostusalue"
"čálit","tulosta"
"čálit juolgeteavssta","tulosta alatunniste"
"čálit ...","tulosta..."
"čállinmearkka rájes","kohdistimesta"
"čálán-uri","tulostimen uri"
"čálánreaiddut","tulostintyökalut"
"čálánčujuhus","tulostimen osoite"
"čátta","keskustelu"
"čáhcemearkateaksta","vesileiman teksti"
"čáhcemearkka fonta","vesileimasimen kirjasin"
"čáhcemearkka ivdni","vesileiman väri"
"čáhcemearkka stiila","vesileiman tyyli"
"čáhcemearkka sturrodat","vesileiman koko"
"čáhcemearkka sturrodat (čuoggát","vesileiman koko (pistettä"
"čáhcemearkka viŋkil","vesileiman kulma"
"čáhcemearkka árjjalašvuohta","vesileiman intensiteetti"
"čáhcemerke siidduid","vesileimasivut"
"čáhkosárggus","viivataide"
"čáhppat ja cyanalit","musta ja syaani"
"čáhppat ja fiskat","musta ja keltainen"
"čáhppat ja ivdni","musta ja väri"
"čáhppat ja magentaruoksat","musta ja magenta"
"čáhppat ja ruoksat (magentaruoksat, fiskat, čáhppat","musta ja punainen (magenta, keltainen, musta"
"čáhppat juohkke ivnni sajis","musta kaikille väreille"
"čáhppat čuvges ivnni alde","musta satunnaisella vaalealla taustalla"
"čáhppat čuvgesfiskes ivnni alde","musta vaaleankeltaisella taustalla"
"čáhppat, dábálaš kvalitehta","musta, normaali laatu"
"čáhppes kaseahtta","musta panos"
"čáhppes leahkkakaseahtta mas lea ollu leahkka","korkeakapasiteettinen musta kasetti"
"čáhppes čálihandoaibmanvuohkki","musta tulostustila"
"čáhppes- ja fotokaseahtta","musta ja valokuva"
"čáhppes-vielgadin","yksiväriseksi"
"čáhppes/vilges","yksivärinen"
"čáhppes/vilges (1 bg","yksivärinen (1bpp"
"čáhppes/vilges, floyd-steinberg","yksivärinen, floyd-steinberg"
"čáhppes/vilges, jođánis","yksivärinen, nopea"
"čáhppes/vilges, ordnejuvvon dielvvasmahttin","yksivärinen järjestyserottelu"
"čáhppesbuorideapmi (unnit cyan-alit","mustan korjaus (syaaninvähennys"
"čáhppesdásit","mustan tasot"
"čáhppesdássi","mustan taso"
"čájet dáhpahusa","näytä tapahtuma"
"čájet gođđosa","laajenna säie"
"čájet čálánbienaid","näytä tulostimen yksityiskohdat"
"čájeha usb-ovttadagaid mat leat laktašuvvan dihtoriidat","näytä tietokoneeseen liitetyt usb-laitteet"
"čájeha reiveráhkadeami","viestin rakennetaulukko"
"čájeha vuogádatdieđuid","konsoliviestien näytin"
"čájeha árpoaktivitehta","näytä säietapahtumat"
"čájehago vuogádatdiibmu utc-áiggi?","onko kello asetettu maailmanaikaan (utc)?"
"čájehanmodus","näyttötila"
"čájehannamma","näyttönimi"
"čájehangaskkaldat","näyttöalue"
"čájehaniešvuođat","näkymän asetukset"
"čájehanmodus","näkymä"
"čájehanmolssaeavttut","selausvalinnat"
"čájehanortnet","selausjärjestys"
"čájehanverrát","selausportti"
"čájehanáigemearri","selauksen aikavalvonta"
"čájehančujuhus","selausosoite"
"čájehančujuhusat","selausosoitteet"
"čájeheamen urla 1","näyttää url-osoitteen 1"
"čájehusheivehusat","selausasetukset"
"čájehuvvon","näytetty"
"čájehuvvon barggut","näytetyt työt"
"čájet merkošiid","näytä tietueet"
"čájet 1","näytä 1"
"čájet 1-reaidoholgga","näytä 1 -työkalurivi"
"čájet birasvariábeliid árvvuid","näytä ympäristömuuttujien arvot"
"čájet bout gođđosiid","laajenna kaikki säikeet"
"čájet buo","näytä kaikki"
"čájet buot merkošiid","näytä kaikki kohdat"
"čájet bálgá","näytä polku"
"čájet diimmu","näytä kello"
"čájet diimmu namahusas","näytä kello otsikossa"
"čájet dušše dán prográmmas (1","vain tälle sovellukselle (1"
"čájet earáid bajábealde","pidä muiden ikkunoiden yläpuolella"
"čájet earáid vuolábealde","pidä muiden ikkunoiden alapuolella"
"čájet easttaduvvon láse","näytä estetty ikkuna"
"čájet fálloholgga","näytä valikkorivi"
"čájet galle leat báhccán","näytä jäljellä olevien lukumäärä"
"čájet govašravdda","näytä kuvakereunus"
"čájet gradieanttaid","piirrä väriliu'ut"
"čájet gáldu","näytä lähdekoodi"
"čájet historihka ...","katso historiaa..."
"čájet hámu","näytä kaava"
"čájet jagi","näytä vuosi"
"čájet linnjálaid","näytä mittanauhat"
"čájet linnjánummiriid","näytä rivinumerot"
"čájet láselistten boalu","näytä ikkunalista-painike"
"čájet máhccunmearkkaid (jos olamuttus","näytä laskostusmerkit (jos käytössä"
"čájet nammagilkoriid","näytä otsikot"
"čájet prográmmagovažiid","näytä ohjelmien kuvakkeet"
"čájet reaidoholgga","näytä työkalurivi"
"čájet ruvttodaga","näytä ruudukko"
"čájet rávvagiid álggahettiin","näytä vinkit käynnistettäessä"
"čájet siskkildanlinnjáid","näytä sisennyslinjat"
"čájet stáhtusholgga","näytä tilarivi"
"čájet uhcagovaža","näytä esikatselukuva"
"čájet vahkkobeaivvi","näytä viikonpäivä"
"čájet vuogádatbáikkiid","näytä sijainnit-laatikko"
"čájet dashboard","näytä kojelauta"
"čájet html-bohtosa","näytä html-tuloste"
"čájet kmaila bures boahttin siiddu.","näytä kmailin aloitussivu"
"čájet klipper-fálu","näytä klipperin ponnahdusvalikko"
"čájet kontact-čoahkkáigeasu","yhteenvetonäkymä"
"čájet molssočállinbeavddi","demo \siirrä työpöytä ylös\"
"čájet ssl-dieđuid","näytä ssl-tiedot"
"čájet aktiivalaš bihtá","näytä soiva kappale"
"čájet bargočájeheaddji álggaheames","näytä työt käynnistyksessä"
"čájet bihtá suoivvanasa","näytä palikan varjo"
"čájet bihtáid ovdagihtii","koekuuntele kappaleita"
"čájet boahtte bihtá","näytä seuraava palikka"
"čájet boastačujuhusaid","näytä postiosoite"
"čájet buot mildosiid reivve siskkobealde (jos vejolaš","näytä kaikki liitteet osana viestiä (jos mahdollista"
"čájet buot molssaeavttuid","näytä kaikki valinnat"
"čájet buot olamuttus moduvllaid","luettelo mahdollisista moduuleista"
"čájet buot reivebajilčállagiid","näytä viestin kaikki otsikkotiedot"
"čájet buot vejolaš moduvllaid ja heaittit","luettele kaikki mahdolliset moduulit ja poistu"
"čájet buot čálaniid bargguid","näytä kaikkien tulostimien työt"
"čájet báikepanela","näytä sijainnit-paneeli"
"čájet dahje rievdat dieđuid diehtočoahku birra","katso tai muokkaa evästeen tietoja"
"čájet dahje rievdat laiggahatiešvuođaid","näytä tai muuta tason ominaisuuksia"
"čájet dahje čiega oktavuohtalisttu","näytä tai piilota yhteystietoluettelo"
"čájet dahje čiega váldoláse","näytä tai piilota soittolistaikkuna"
"čájet dieđu báhccanláses","näytä viesti ponnahdusikkunassa"
"čájet dieđu liseanssa birra","näytä lisenssitiedot"
"čájet dieđuid boahtte diehtočoahku birra","näytä yksityiskohdat seuraavasta evästeestä"
"čájet dieđuid válljejuvvon oktavuođa birra","näyttää tietoja valitusta yhteystiedosta"
"čájet dieđuid čálli birra","näytä tekijätiedot"
"čájet dokumeantagáldu","näytä asiakirjan lähdekoodi"
"čájet doaibmafálu","näytä toimintojen valikko"
"čájet doarggisteaddji lihkkadeami","demo shaky move"
"čájet dokumeantadieđuid","näytä asiakirjan tiedot"
"čájet dušše dáinna dovddaldagain","näytä vain tiedostot, joiden pääte on"
"čájet dušše geavaheaddjebargguid","näytä vain käyttäjän työt"
"čájet dušše merkejuvvon girjemearkkaid girjemearkareaidoholggas.","näytä vain merkityt kirjanmerkit kirjanmerkkirivillä"
"čájet dušše oktii","näytä vain kerran"
"čájet dušše sievána vuolde","vain osoittimen kohdalla"
"čájet dáid govaid","näytä kaikki seuraavat kuvat"
"čájet dán joavkku.","näytä tämä ryhmä."
"čájet dán nannenláseža","näytä tämä vahvistusikkuna"
"čájet dán veahkketeavstta","näytä tämä ohjeteksti"
"čájet erenoamáš molssaeavttuid 1 oktavuođas","näytä 1-valinnat"
"čájet favorihttamáhpaid","näytä suosikkikansionäkymä"
"čájet fierpmádatsiidduid (urlaid","näytä verkkosivut (osoitteet"
"čájet fiilla sierra čájeheaddjis","avaa tiedosto erilliseen ohjelmaan"
"čájet fiilla vuojuhuvvon čájeheaddjis","avaa tiedosto upotettavassa esikatseluohjelmassa"
"čájet fáksafiilla(id","näytettävät faksitiedostot"
"čájet fálloholgga","näytä valikkorivi"
"čájet fálus","näytä valikossa"
"čájet galle ruskalinnját leat ožžon vuostálastis.","määrittele roskarivien määrä, jonka vastaanotit vastustajalta."
"čájet geavaheaddjedieđuid","näytä käyttäjätiedot"
"čájet giddejuvvon fiillaid","näytä suljetut tiedostot"
"čájet giddejuvvon oktavuođaid","näytä suljetut yhteydet"
"čájet girjemearkkaid","näytä kirjanmerkit"
"čájet girjemearkkaid mat eai leat máhpaid siste","näytä juuressa sijaitsevat kirjanmerkit"
"čájet gova (1","näytä kuva (1"
"čájet gova aktiivalaš láses","näytä kuva aktiivisessa ikkunassa"
"čájet govaid sahtedohko ortnegis","näytä kuvat satunnaisessa järjestyksessä"
"čájet govaid mat leat siiddus","näytä kuvat sivulla"
"čájet govaža vuogádatgárccus","näytä ilmoitusalueen kuvake"
"čájet govaža vuogádatgárccus","näytä kuvake ilmoitusalueella"
"čájet guhkes reiveoaivelisttu","näytä tarkat otsikkotiedot"
"čájet guorus joavkkuid","näytä tyhjät ryhmät"
"čájet gurgadusaid","näytä rivit"
"čájet gurgadusaid ...","näytä rivit..."
"čájet heivehanboalu","näytä asetuspainike"
"čájet ii laktašuvvon geavaheddjiid","näytä poissa verkosta olevat käyttäjät"
"čájet ivnniid prosentan","näytä värit prosentteina"
"čájet joavkkuid siste","näytä ryhmissä"
"čájet jođánisholgga","näytä nopeuspalkki"
"čájet jođánissilli","näytä pikasuodin"
"čájet kommentáraid","katso kommentit"
"čájet lassi bálvalusdieđuid","näytä laajennetut palvelutiedot"
"čájet lavtta ovdaneami","näytä edistyminen käyttöliittymässä."
"čájet listtu","näytä luettelo"
"čájet listtu lavttašettiin","luettelo yhdistettäessä"
"čájet listu modulain maid galgá vuodjit álggahettiin","luettelo moduuleista, jotka ajetaan käynnistyksessä"
"čájet láse buot čállinbevddiin","pidä ikkuna kaikilla työpöydillä"
"čájet láse earáid duohkken","pidä ikkuna muiden ikkunoiden alla"
"čájet láseoli sirdidettiin ja rievdadettiin sturrodaga","näytä ikkunan geometria liikuttaessa tai vaihdettaessa ikkunan kokoa"
"čájet láseža gos ieš dahká gaskabálvaheivehusaid","näytä omien välityspalvelinasetusten ikkuna."
"čájet lásiid geahččalemiid vuojedettiin","näytä ikkuna testejä suoritettaessa."
"čájet lásiid sisdoalu rievdadettiin sturrodaga","näytä sisältö kokoa muutettaessa"
